City,Timestamp,AQI,PM2.5,PM10,CO,NO2,SO2,O3,Latitude,Longitude
Delhi,2025-06-29 14:04:52,177,155.78,234.09,0.29,15.42,56.61,115.74,28.7041,77.1025
Delhi,2025-06-29 23:04:52,197,232.39,129.08,0.43,80.6,64.38,110.05,28.7041,77.1025
Delhi,2025-06-24 14:04:52,280,286.05,299.02,1.96,199.19,32.84,98.33,28.7041,77.1025
Delhi,2025-06-29 11:04:52,296,295.98,273.63,1.71,185.74,47.98,141.4,28.7041,77.1025
Delhi,2025-06-24 10:04:52,126,184.89,84.14,1.81,124.72,122.14,160.51,28.7041,77.1025
Delhi,2025-06-26 13:04:52,194,210.49,163.01,0.67,181.29,142.1,110.78,28.7041,77.1025
Delhi,2025-06-27 14:04:52,265,214.57,303.14,1.24,131.84,70.1,38.53,28.7041,77.1025
Delhi,2025-06-29 02:04:52,235,295.19,207.77,0.29,21.76,24.48,20.73,28.7041,77.1025
Delhi,2025-06-25 20:04:52,195,209.18,178.33,0.49,123.63,78.35,140.82,28.7041,77.1025
Delhi,2025-06-28 10:04:52,252,292.27,196.25,0.4,181.58,19.61,35.84,28.7041,77.1025
Delhi,2025-06-28 16:04:52,67,74.82,64.3,0.28,124.57,61.13,51.35,28.7041,77.1025
Delhi,2025-06-23 20:04:52,121,174.48,68.83,2.31,154.02,60.69,105.7,28.7041,77.1025
Delhi,2025-06-25 02:04:52,228,47.85,385.56,0.54,169.44,96.69,105.62,28.7041,77.1025
Delhi,2025-06-29 11:04:52,196,214.99,154.2,1.15,162.89,68.91,151.41,28.7041,77.1025
Delhi,2025-06-23 08:04:52,313,277.84,362.73,1.01,126.28,140.93,23.51,28.7041,77.1025
Delhi,2025-06-25 23:04:52,122,138.86,90.09,1.76,91.01,60.12,37.24,28.7041,77.1025
Delhi,2025-06-29 05:04:52,264,172.47,388.07,0.51,19.49,60.04,110.9,28.7041,77.1025
Delhi,2025-06-28 01:04:52,211,87.45,360.62,0.99,9.02,47.22,23.32,28.7041,77.1025
Delhi,2025-06-26 04:04:52,197,32.81,349.66,0.4,123.8,102.28,112.66,28.7041,77.1025
Delhi,2025-06-29 14:04:52,137,58.85,235.97,1.68,86.85,54.41,50.9,28.7041,77.1025
Delhi,2025-06-24 16:04:52,168,151.2,167.47,1.39,21.25,137.43,41.73,28.7041,77.1025
Delhi,2025-06-25 04:04:52,267,244.48,302.62,1.71,130.98,67.36,133.33,28.7041,77.1025
Delhi,2025-06-29 05:04:52,252,183.1,319.32,1.75,172.16,56.65,173.56,28.7041,77.1025
Delhi,2025-06-29 16:04:52,279,237.5,348.26,2.39,166.17,53.89,139.44,28.7041,77.1025
Delhi,2025-06-27 01:04:52,109,57.56,157.51,2.08,181.53,66.01,84.58,28.7041,77.1025
Delhi,2025-06-28 05:04:52,128,26.55,231.4,2.44,126.9,103.09,156.24,28.7041,77.1025
Delhi,2025-06-25 11:04:52,107,115.91,108.9,1.45,111.92,76.2,70.45,28.7041,77.1025
Delhi,2025-06-27 03:04:52,218,120.28,294.79,2.21,52.95,32.99,14.89,28.7041,77.1025
Delhi,2025-06-29 18:04:52,144,148.05,103.58,1.64,143.95,140.61,111.91,28.7041,77.1025
Delhi,2025-06-28 23:04:52,117,227.78,41.67,0.4,90.1,23.25,112.25,28.7041,77.1025
Delhi,2025-06-24 19:04:52,196,273.17,105.87,1.17,115.99,106.66,44.84,28.7041,77.1025
Delhi,2025-06-27 04:04:52,287,287.92,249.54,2.48,85.17,62.18,154.39,28.7041,77.1025
Delhi,2025-06-26 02:04:52,273,125.56,394.45,1.67,98.61,128.93,65.31,28.7041,77.1025
Delhi,2025-06-28 01:04:52,133,264.44,33.99,0.18,160.11,75.91,133.5,28.7041,77.1025
Delhi,2025-06-28 07:04:52,209,103.75,340.59,1.0,145.34,6.25,17.12,28.7041,77.1025
Delhi,2025-06-29 00:04:52,233,297.84,154.58,1.32,130.37,51.44,75.18,28.7041,77.1025
Delhi,2025-06-27 17:04:52,155,198.31,123.66,2.01,44.89,26.09,43.74,28.7041,77.1025
Delhi,2025-06-26 02:04:52,180,146.05,245.21,2.09,143.97,55.29,53.75,28.7041,77.1025
Delhi,2025-06-27 19:04:52,312,287.11,360.24,0.35,121.6,8.17,137.18,28.7041,77.1025
Delhi,2025-06-30 01:04:52,108,80.65,118.37,0.81,180.7,120.16,165.04,28.7041,77.1025
Delhi,2025-06-29 21:04:52,257,293.12,232.07,0.22,33.26,76.92,98.46,28.7041,77.1025
Delhi,2025-06-29 07:04:52,194,54.07,296.74,0.31,159.54,44.6,28.11,28.7041,77.1025
Delhi,2025-06-29 23:04:52,60,78.75,78.37,2.48,40.77,89.32,132.52,28.7041,77.1025
Delhi,2025-06-23 06:04:52,217,136.03,307.08,0.77,140.47,37.58,9.33,28.7041,77.1025
