Order_ID,Order_Time,Area,Restaurant,Estimated_Delivery_Time_min,Actual_Delivery_Time_min,Delay_Minutes,Weather,Time_of_Day
ORD00001,2025-01-01 00:00:00,University Area,Restaurant_17,27,22,-5,Rain,Night
ORD00002,2025-01-01 00:10:00,Suburb-East,Restaurant_34,41,40,-1,Clear,Night
ORD00003,2025-01-01 00:20:00,Suburb-West,Restaurant_41,38,56,18,Clear,Night
ORD00004,2025-01-01 00:30:00,University Area,Restaurant_29,30,38,8,Clear,Night
ORD00005,2025-01-01 00:40:00,Midtown,Restaurant_9,32,32,0,Rain,Night
ORD00006,2025-01-01 00:50:00,Suburb-West,Restaurant_13,46,63,17,Fog,Night
ORD00007,2025-01-01 01:00:00,Suburb-West,Restaurant_6,29,34,5,Rain,Night
ORD00008,2025-01-01 01:10:00,University Area,Restaurant_6,32,38,6,Rain,Night
ORD00009,2025-01-01 01:20:00,Uptown,Restaurant_20,26,42,16,Clear,Night
ORD00010,2025-01-01 01:30:00,Midtown,Restaurant_3,39,40,1,Clear,Night
ORD00011,2025-01-01 01:40:00,University Area,Restaurant_17,36,50,14,Clear,Night
ORD00012,2025-01-01 01:50:00,Midtown,Restaurant_49,41,54,13,Clear,Night
ORD00013,2025-01-01 02:00:00,Midtown,Restaurant_12,25,28,3,Clear,Night
ORD00014,2025-01-01 02:10:00,Suburb-West,Restaurant_48,39,34,-5,Rain,Night
ORD00015,2025-01-01 02:20:00,Suburb-East,Restaurant_47,38,43,5,Rain,Night
ORD00016,2025-01-01 02:30:00,Midtown,Restaurant_45,44,60,16,Cloudy,Night
ORD00017,2025-01-01 02:40:00,Industrial Zone,Restaurant_1,46,59,13,Clear,Night
ORD00018,2025-01-01 02:50:00,Suburb-West,Restaurant_17,40,62,22,Rain,Night
ORD00019,2025-01-01 03:00:00,Uptown,Restaurant_3,33,33,0,Storm,Night
ORD00020,2025-01-01 03:10:00,Suburb-East,Restaurant_26,25,37,12,Rain,Night
ORD00021,2025-01-01 03:20:00,Industrial Zone,Restaurant_15,41,36,-5,Clear,Night
ORD00022,2025-01-01 03:30:00,Industrial Zone,Restaurant_36,37,44,7,Clear,Night
ORD00023,2025-01-01 03:40:00,Uptown,Restaurant_32,45,61,16,Clear,Night
