Date,Description,Debit (INR),Credit (INR),Balance
2025-06-01,Medical Expense,1214.72,,48785.28
2025-04-18,Electricity Bill,3419.74,,45365.54
2025-04-05,SIP Investment,5141.99,,40223.55
2025-02-24,Electricity Bill,7825.82,,32397.73
2025-03-01,Flight Booking,11942.92,,20454.81
2025-02-19,UPI to Zomato,10832.85,,9621.96
2025-03-13,Electricity Bill,14690.07,,-5068.11
2025-03-14,UPI to Zomato,10079.56,,-15147.67
2025-06-06,Credit Card Payment,8637.84,,-23785.51
2025-05-30,SIP Investment,6002.83,,-29788.34
2025-06-15,Electricity Bill,985.48,,-30773.82
2025-06-04,Credit Card Payment,2109.16,,-32882.98
2025-01-30,Amazon Purchase,11714.9,,-44597.88
2025-01-25,Salary Credited,,12597.97,-31999.91
2025-06-03,UPI to Zomato,7982.46,,-39982.37
2025-02-23,Salary Credited,,18837.26,-21145.11
2025-03-04,Credit Card Payment,11890.91,,-33036.02
2025-01-02,Amazon Purchase,14365.43,,-47401.45
2025-04-05,Insurance Premium,15935.55,,-63337.0
2025-01-09,Credit Card Payment,16066.69,,-79403.69
2025-03-11,Insurance Premium,1914.9,,-81318.59
2025-02-18,Flight Booking,11266.08,,-92584.67
2025-04-29,Salary Credited,,7779.44,-84805.23
2025-05-12,Electricity Bill,7086.61,,-91891.84
2025-04-06,Salary Credited,,17670.4,-74221.44
2025-02-02,Fuel,6477.56,,-80699.0
2025-05-24,Insurance Premium,4301.5,,-85000.5
2025-02-05,Flight Booking,19760.34,,-104760.84
2025-04-25,SIP Investment,11073.3,,-115834.14
2025-03-17,Insurance Premium,12672.4,,-128506.54
2025-04-01,UPI to Zomato,14509.91,,-143016.45
2025-06-05,Flight Booking,11958.93,,-154975.38
2025-02-17,Electricity Bill,12239.67,,-167215.05
2025-02-09,UPI to Zomato,15171.7,,-182386.75
2025-03-28,UPI to Zomato,13866.12,,-196252.87
2025-02-01,Flight Booking,5548.67,,-201801.54
2025-01-31,Salary Credited,,1345.71,-200455.83
2025-06-12,Fuel,6562.29,,-207018.12
2025-05-20,SIP Investment,14709.6,,-221727.72
2025-06-05,Fuel,15821.11,,-237548.83
2025-02-10,Flight Booking,18197.38,,-255746.21
2025-05-16,Fuel,16416.86,,-272163.07
2025-05-18,Insurance Premium,12243.55,,-284406.62
2025-04-15,Insurance Premium,6656.29,,-291062.91
2025-05-22,Amazon Purchase,2766.49,,-293829.4
2025-03-22,Fuel,4214.17,,-298043.57
2025-06-08,UPI to Zomato,6764.58,,-304808.15
2025-05-17,Medical Expense,2617.73,,-307425.88
2025-02-14,Insurance Premium,13058.15,,-320484.03
2025-04-17,UPI to Zomato,9236.45,,-329720.48
2025-03-24,Medical Expense,15069.61,,-344790.09
2025-01-05,UPI to Zomato,9028.51,,-353818.6
2025-01-10,Credit Card Payment,10252.69,,-364071.29
2025-02-02,Credit Card Payment,13742.7,,-377813.99
2025-01-02,UPI to Zomato,13916.21,,-391730.2
2025-01-21,UPI to Zomato,18711.54,,-410441.74
2025-03-14,SIP Investment,3729.66,,-414171.4
2025-02-27,SIP Investment,1740.12,,-415911.52
2025-03-16,Credit Card Payment,6801.85,,-422713.37
2025-04-25,Fuel,7026.67,,-429740.04
2025-02-08,Credit Card Payment,17596.71,,-447336.75
2025-03-16,Flight Booking,15041.43,,-462378.18
2025-05-24,Flight Booking,14727.67,,-477105.85
2025-03-07,Credit Card Payment,7371.46,,-484477.31
2025-05-11,Salary Credited,,9095.29,-475382.02
2025-04-04,Electricity Bill,16732.82,,-492114.84
2025-04-02,Flight Booking,10454.98,,-502569.82
2025-03-19,Flight Booking,7868.47,,-510438.29
2025-02-06,Fuel,1058.9,,-511497.19
2025-01-11,SIP Investment,14585.02,,-526082.21
2025-01-08,Insurance Premium,17246.57,,-543328.78
2025-01-02,Flight Booking,18122.1,,-561450.88
2025-03-26,Electricity Bill,6782.72,,-568233.6
2025-03-08,Credit Card Payment,19735.07,,-587968.67
2025-03-24,Salary Credited,,5659.8,-582308.87
2025-05-03,Fuel,9658.11,,-591966.98
2025-02-01,Salary Credited,,9527.64,-582439.34
2025-02-13,Fuel,7036.42,,-589475.76
2025-03-03,UPI to Zomato,16016.72,,-605492.48
2025-04-30,UPI to Zomato,5805.72,,-611298.2
2025-06-21,UPI to Zomato,13132.67,,-624430.87
2025-03-18,Flight Booking,2861.99,,-627292.86
2025-01-27,Medical Expense,4517.82,,-631810.68
2025-01-29,Electricity Bill,2609.1,,-634419.78
2025-04-16,Medical Expense,1562.16,,-635981.94
2025-06-11,Flight Booking,4292.58,,-640274.52
2025-04-01,Electricity Bill,19759.2,,-660033.72
2025-05-26,Salary Credited,,16304.97,-643728.75
2025-01-24,Flight Booking,6511.12,,-650239.87
2025-04-30,Amazon Purchase,7049.05,,-657288.92
2025-05-09,Insurance Premium,1579.95,,-658868.87
2025-04-16,Amazon Purchase,18764.22,,-677633.09
2025-06-15,Flight Booking,18101.94,,-695735.03
2025-02-27,Fuel,17126.24,,-712861.27
2025-03-09,Electricity Bill,13044.14,,-725905.41
2025-01-03,SIP Investment,11892.37,,-737797.78
