Month,Income (INR),Expense (INR),Savings (INR)
Dec 2024,48915.19,42099.85,6815.34
Nov 2024,69955.61,58458.25,11497.36
Jul 2024,52543.68,31104.31,21439.37
Apr 2025,42143.15,36258.41,5884.74
Jul 2024,76276.38,64787.23,11489.15
Jul 2024,74710.6,38783.03,35927.57
Jun 2024,72904.94,40226.29,32678.65
Sep 2024,46366.02,36972.98,9393.04
Sep 2024,78946.49,76663.7,2282.79
Nov 2024,69337.11,59346.31,9990.8
Dec 2024,41020.67,31077.34,9943.33
Jul 2024,30078.47,27143.16,2935.31
Sep 2024,32384.68,27769.65,4615.03
Mar 2025,33031.11,31757.89,1273.22
Dec 2024,53924.92,30551.77,23373.15
Jun 2025,44982.82,32514.49,12468.33
Nov 2024,50176.56,48215.84,1960.72
Jan 2025,42573.65,29885.3,12688.35
Dec 2024,30371.1,26458.03,3913.07
Dec 2024,48205.16,30338.8,17866.36
Feb 2025,71360.94,49772.62,21588.32
Sep 2024,73841.78,38332.7,35509.08
Jan 2025,53956.14,26994.57,26961.57
Mar 2025,38251.07,32543.76,5707.31
Nov 2024,35706.12,29801.05,5905.07
Jan 2025,38119.63,30452.61,7667.02
Jul 2024,42563.9,26480.73,16083.17
Feb 2025,46630.69,33151.14,13479.55
Aug 2024,51478.75,37022.56,14456.19
Jan 2025,41889.03,25439.83,16449.2
Aug 2024,57018.59,26911.48,30107.11
Mar 2025,59704.39,55129.72,4574.67
Jun 2025,58658.98,43691.24,14967.74
Feb 2025,64265.55,46488.06,17777.49
Oct 2024,71642.57,29600.72,42041.85
Oct 2024,35362.83,27299.92,8062.91
Dec 2024,42960.15,30364.26,12595.89
Mar 2025,61680.64,27364.85,34315.79
Aug 2024,42618.48,41527.7,1090.78
Sep 2024,49622.74,34861.74,14761.0
Sep 2024,72819.5,37878.94,34940.56
Sep 2024,55734.3,48602.22,7132.08
Jun 2025,31238.11,29076.18,2161.93
Nov 2024,44276.79,31805.89,12470.9
Oct 2024,64819.01,48144.92,16674.09
Aug 2024,56306.57,41931.02,14375.55
Feb 2025,30804.48,26713.15,4091.33
Nov 2024,53206.52,42243.94,10962.58
Jan 2025,68688.2,47944.94,20743.26
Aug 2024,37199.27,26627.55,10571.72
Aug 2024,63319.73,42899.11,20420.62
Dec 2024,65514.43,38736.29,26778.14
Mar 2025,69636.73,48806.42,20830.31
Dec 2024,75123.18,27419.55,47703.63
Nov 2024,64798.8,32282.12,32516.68
Dec 2024,30634.86,27942.3,2692.56
Jun 2025,73138.99,49838.98,23300.01
Jul 2024,64888.61,52927.44,11961.17
May 2025,41408.27,35890.7,5517.57
May 2025,30386.67,28039.89,2346.78
Dec 2024,73260.86,44536.69,28724.17
Jul 2024,43605.91,25250.96,18354.95
Apr 2025,59520.44,44451.39,15069.05
Aug 2024,43498.15,27203.01,16295.14
Jun 2025,63475.58,49860.43,13615.15
Sep 2024,58537.16,42473.03,16064.13
Apr 2025,30170.12,28380.45,1789.67
Apr 2025,38647.82,31880.71,6767.11
