id,timestamp,sender,message
1,2025-04-02 09:19:57,GPay,Rs. 13020.48 debited for Rent via NEFT to Kelsey. A/c bal: Rs. 44287.3
2,2025-05-13 06:22:25,SBIINB,INR 14531.79 spent at Swiggy/Zomato. Avl bal: 8229.35
3,2025-01-19 14:42:07,BOBBNK,Rs. 4756.75 debited for Electricity/Water Bill.
4,2025-01-04 10:37:46,ICICIBANK,INR 3303.44 spent at Amazon. Avl bal: 16643.33
5,2025-05-03 07:36:26,SBIINB,Rs. 8645.83 debited towards Netflix/Amazon Prime. Thank you for using SBIINB
6,2025-03-16 05:23:25,AXISBANK,INR 13351.93 spent at Amazon. Avl bal: 21730.88
7,2025-05-12 02:19:18,AXISBANK,INR 11666.69 spent at Swiggy/Zomato. Avl bal: 24701.26
8,2025-05-06 17:23:44,HDFCBK,INR 12877.9 spent at Amazon. Avl bal: 7439.77
9,2025-04-05 07:30:49,ICICIBANK,INR 2796.15 spent at Swiggy/Zomato. Avl bal: 41070.41
10,2025-01-07 16:27:45,ICICIBANK,INR 9731.73 spent at Swiggy/Zomato. Avl bal: 38992.83
11,2025-04-17 17:27:03,AXISBANK,You paid ₹7032.77 to Uber/Ola. UPI Ref: 90842625
12,2025-04-07 13:13:28,SBIINB,Rs. 13387.05 debited for Rent via NEFT to Roger. A/c bal: Rs. 6215.51
13,2025-01-02 14:34:00,HDFCBK,Rs. 9893.07 debited for Electricity/Water Bill.
14,2025-05-03 07:42:17,BOBBNK,INR 3691.52 spent at Swiggy/Zomato. Avl bal: 34627.79
15,2025-02-11 00:02:15,BOBBNK,Rs. 8520.27 debited towards Netflix/Amazon Prime. Thank you for using BOBBNK
16,2025-04-20 04:47:42,HDFCBK,You paid ₹8157.31 to Uber/Ola. UPI Ref: 454240658
17,2025-01-24 00:21:36,ICICIBANK,Rs. 10349.83 debited for Electricity/Water Bill.
18,2025-02-20 11:07:37,AXISBANK,Rs. 1431.98 debited for Electricity/Water Bill.
19,2025-03-07 15:51:11,ICICIBANK,INR 5073.16 spent at Swiggy/Zomato. Avl bal: 37080.8
20,2025-05-23 06:44:29,GPay,Rs. 13363.46 debited for Rent via NEFT to William. A/c bal: Rs. 33215.4
21,2025-05-07 00:55:18,ICICIBANK,Rs. 1263.9 debited for Rent via NEFT to Christy. A/c bal: Rs. 27046.86
22,2025-01-09 10:47:05,GPay,INR 8636.13 spent at Swiggy/Zomato. Avl bal: 25432.11
23,2025-02-04 17:45:11,AXISBANK,INR 4627.54 spent at Swiggy/Zomato. Avl bal: 46631.69
24,2025-05-28 21:36:59,SBIINB,Rs. 3907.6 debited for Rent via NEFT to Kristin. A/c bal: Rs. 3849.89
25,2025-03-25 01:09:37,GPay,INR 1907.61 spent at Swiggy/Zomato. Avl bal: 49708.7
26,2025-04-05 19:24:14,BOBBNK,Rs. 8594.07 debited for Electricity/Water Bill.
27,2025-04-12 11:16:30,BOBBNK,Rs. 14365.71 debited for Electricity/Water Bill.
28,2025-01-07 08:44:04,HDFCBK,Rs. 6831.07 debited for Electricity/Water Bill.
29,2025-02-20 03:01:46,SBIINB,Rs. 1784.4 debited towards Netflix/Amazon Prime. Thank you for using SBIINB
30,2025-02-13 21:12:19,BOBBNK,INR 8465.01 spent at Swiggy/Zomato. Avl bal: 40467.11
