Date,UPI ID,Amount,Type,Purpose
2025-04-11,rentcollection@upi,1686.59,Debit,Medical
2025-03-31,swiggy@upi,11897.38,Debit,Reimbursement
2025-04-01,amazon@upi,13121.59,Debit,Food Delivery
2025-03-21,phonepe@upi,8210.2,Credit,House Rent
2024-12-30,amazon@upi,13148.72,Credit,House Rent
2025-04-11,phonepe@upi,5283.07,Credit,Food Delivery
2025-03-12,gpay@upi,3768.98,Debit,House Rent
2025-01-10,amazon@upi,6440.15,Credit,Shopping
2025-02-14,swiggy@upi,5168.29,Credit,Medical
2025-03-27,rentcollection@upi,3760.18,Debit,Reimbursement
2025-04-04,amazon@upi,4716.55,Credit,Medical
2025-01-23,paytm@upi,8776.13,Debit,Subscription
2025-04-11,amazon@upi,9893.14,Credit,House Rent
2025-01-02,swiggy@upi,6847.02,Credit,Subscription
2025-03-28,rentcollection@upi,1978.63,Credit,Food Delivery
2024-12-31,amazon@upi,4477.73,Credit,Shopping
2025-02-13,amazon@upi,9120.34,Debit,Medical
2025-06-23,paytm@upi,1606.75,Credit,House Rent
2025-06-14,phonepe@upi,13675.27,Debit,Shopping
2025-06-03,phonepe@upi,11416.99,Credit,House Rent
2025-06-11,gpay@upi,14710.13,Debit,Subscription
2025-03-29,phonepe@upi,9159.29,Credit,House Rent
2025-01-05,rentcollection@upi,4939.44,Debit,Food Delivery
2025-03-10,amazon@upi,10522.43,Credit,Subscription
2025-05-05,phonepe@upi,12775.64,Credit,Medical
2025-01-09,paytm@upi,780.52,Debit,Subscription
2025-02-26,amazon@upi,5735.93,Debit,Shopping
2025-04-17,gpay@upi,3951.66,Debit,Reimbursement
2025-01-13,swiggy@upi,11106.57,Debit,Subscription
2025-06-24,rentcollection@upi,14645.47,Credit,Medical
2025-04-24,phonepe@upi,1604.55,Debit,Subscription
2025-06-23,rentcollection@upi,10953.52,Debit,Reimbursement
2025-02-22,gpay@upi,9181.76,Credit,Food Delivery
2025-05-01,amazon@upi,2510.42,Debit,Food Delivery
2025-03-06,amazon@upi,10447.26,Credit,Reimbursement
2025-01-09,rentcollection@upi,1179.6,Debit,Food Delivery
2025-01-02,rentcollection@upi,3664.84,Credit,House Rent
2025-04-10,swiggy@upi,8074.92,Credit,Reimbursement
2025-03-14,amazon@upi,7439.73,Credit,Subscription
2025-02-18,amazon@upi,6813.93,Credit,Shopping
2025-02-11,amazon@upi,3282.93,Credit,Subscription
2025-04-19,amazon@upi,13369.55,Debit,House Rent
2025-04-05,phonepe@upi,5722.0,Credit,Shopping
2025-03-26,phonepe@upi,11776.66,Credit,Subscription
2025-03-26,amazon@upi,8509.4,Credit,House Rent
2025-02-23,swiggy@upi,8476.75,Credit,Medical
2025-04-06,paytm@upi,13835.86,Credit,Subscription
2025-02-13,swiggy@upi,6145.29,Credit,Medical
2025-05-12,amazon@upi,7625.33,Credit,Food Delivery
2025-06-09,paytm@upi,5739.37,Debit,Reimbursement
2025-03-17,amazon@upi,893.8,Credit,Food Delivery
2025-05-06,amazon@upi,1169.73,Credit,Reimbursement
2025-02-23,phonepe@upi,8901.32,Credit,Shopping
2025-03-10,gpay@upi,8187.24,Debit,Subscription
2025-04-28,rentcollection@upi,10565.25,Debit,Shopping
2025-06-07,paytm@upi,6432.56,Debit,Reimbursement
2025-05-11,gpay@upi,7357.35,Debit,Subscription
2025-04-24,paytm@upi,2289.74,Debit,Medical
2025-04-08,rentcollection@upi,5772.65,Credit,Shopping
2025-05-11,paytm@upi,5410.95,Credit,Subscription
2025-04-07,rentcollection@upi,1345.26,Credit,Shopping
2025-02-08,amazon@upi,12184.13,Debit,Medical
