Product Name,Category,Price,Quantity Sold,Date of Sale,Revenue
Onion,Vegetables,49.86,19,2024-08-14,947.34
Water,Beverages,34.32,9,2024-08-05,308.88
Tea,Beverages,31.37,15,2024-08-16,470.55
Orange,Fruits,38.66,11,2024-08-18,425.26
Soda,Beverages,42.62,12,2025-05-06,511.44
Nuts,Snacks,17.14,20,2024-09-13,342.8
Coffee,Beverages,43.48,18,2025-05-04,782.64
Popcorn,Snacks,27.56,8,2025-05-05,220.48
Carrot,Vegetables,2.35,15,2025-03-18,35.25
Banana,Fruits,1.57,9,2024-08-13,14.13
Juice,Beverages,2.88,12,2025-03-23,34.56
Mango,Fruits,47.23,20,2025-03-28,944.6
Tomato,Vegetables,28.58,2,2024-11-01,57.16
Water,Beverages,24.68,14,2025-05-14,345.52
Potato,Vegetables,30.93,11,2024-08-30,340.23
Tomato,Vegetables,47.22,20,2024-08-01,944.4
Yogurt,Dairy,5.87,16,2025-02-12,93.92
Granola Bar,Snacks,17.11,20,2025-02-13,342.2
Soda,Beverages,5.63,4,2024-11-15,22.52
Chips,Snacks,18.31,11,2025-01-28,201.41
Popcorn,Snacks,2.41,12,2024-09-17,28.92
Tomato,Vegetables,15.78,15,2024-07-25,236.7
Cream,Dairy,34.61,5,2025-02-25,173.05
Yogurt,Dairy,47.44,18,2025-04-22,853.92
Milk,Dairy,26.86,3,2025-04-29,80.58
Orange,Fruits,6.33,6,2024-10-24,37.98
Carrot,Vegetables,21.23,5,2025-02-19,106.15
Water,Beverages,48.1,15,2025-03-04,721.5
Spinach,Vegetables,42.6,11,2024-09-02,468.6
Carrot,Vegetables,4.76,12,2024-11-22,57.12
Nuts,Snacks,34.56,4,2024-08-17,138.24
Carrot,Vegetables,30.67,12,2025-05-23,368.04
Chips,Snacks,4.39,8,2024-12-05,35.12
Granola Bar,Snacks,12.5,2,2024-09-17,25.0
Onion,Vegetables,43.8,17,2025-06-09,744.6
Juice,Beverages,36.17,18,2024-12-27,651.06
Granola Bar,Snacks,31.41,17,2025-02-10,533.97
Cream,Dairy,43.35,11,2024-09-10,476.85
Popcorn,Snacks,38.93,4,2025-06-18,155.72
Yogurt,Dairy,27.67,3,2025-06-12,83.01
Carrot,Vegetables,48.58,6,2024-09-12,291.48
Onion,Vegetables,48.5,5,2024-09-28,242.5
Spinach,Vegetables,29.46,3,2025-01-11,88.38
Apple,Fruits,44.25,16,2024-07-19,708.0
Mango,Fruits,6.57,2,2024-09-01,13.14
Apple,Fruits,2.95,19,2024-09-01,56.05
Water,Beverages,21.67,5,2024-12-17,108.35
Tea,Beverages,47.7,7,2024-12-29,333.9
Tomato,Vegetables,29.97,16,2024-11-03,479.52
Chips,Snacks,5.61,5,2025-05-24,28.05
Mango,Fruits,27.52,19,2025-01-13,522.88
Soda,Beverages,44.31,11,2024-07-28,487.41
Cookies,Snacks,8.38,8,2025-04-17,67.04
Cookies,Snacks,22.98,20,2025-02-12,459.6
Cheese,Dairy,16.69,14,2025-04-21,233.66
Nuts,Snacks,13.52,6,2024-10-24,81.12
Banana,Fruits,18.44,17,2025-04-29,313.48
Water,Beverages,47.87,18,2025-01-06,861.66
Butter,Dairy,9.64,5,2024-08-24,48.2
Chips,Snacks,4.02,17,2025-04-29,68.34
Coffee,Beverages,22.19,6,2024-08-08,133.14
Soda,Beverages,22.17,20,2025-05-11,443.4
Cream,Dairy,32.13,18,2024-08-25,578.34
Butter,Dairy,7.9,6,2024-10-29,47.4
Spinach,Vegetables,29.05,16,2024-12-08,464.8
Butter,Dairy,11.5,7,2025-01-20,80.5
Popcorn,Snacks,31.55,16,2025-03-27,504.8
Spinach,Vegetables,1.32,15,2024-10-19,19.8
Apple,Fruits,38.89,20,2025-01-21,777.8
Yogurt,Dairy,28.49,9,2024-08-26,256.41
Soda,Beverages,9.26,19,2024-09-06,175.94
Grapes,Fruits,15.83,2,2024-09-30,31.66
Potato,Vegetables,30.66,8,2025-01-15,245.28
Carrot,Vegetables,2.75,12,2024-06-22,33.0
Cheese,Dairy,1.3,2,2025-02-26,2.6
Popcorn,Snacks,48.88,9,2025-05-20,439.92
Milk,Dairy,24.14,13,2025-06-12,313.82
Juice,Beverages,25.41,3,2025-05-14,76.23
Mango,Fruits,24.79,5,2025-04-01,123.95
Butter,Dairy,12.63,8,2024-10-31,101.04
Cheese,Dairy,47.56,20,2024-07-25,951.2
Grapes,Fruits,6.04,14,2024-06-23,84.56
Milk,Dairy,43.56,3,2025-02-16,130.68
Yogurt,Dairy,13.63,17,2025-03-25,231.71
Potato,Vegetables,17.15,15,2025-04-09,257.25
Orange,Fruits,30.72,13,2025-01-27,399.36
Butter,Dairy,47.26,19,2025-04-10,897.94
Chips,Snacks,49.95,18,2025-01-03,899.1
Cream,Dairy,7.06,9,2024-10-13,63.54
Banana,Fruits,32.07,7,2024-07-03,224.49
Granola Bar,Snacks,43.97,8,2025-06-14,351.76
Yogurt,Dairy,6.73,18,2024-11-30,121.14
Nuts,Snacks,46.28,7,2025-01-27,323.96
Popcorn,Snacks,8.52,11,2025-02-10,93.72
Orange,Fruits,36.2,3,2024-10-01,108.6
Butter,Dairy,26.5,10,2024-10-18,265.0
Tomato,Vegetables,49.38,8,2025-06-07,395.04
Onion,Vegetables,10.34,9,2025-01-02,93.06
Popcorn,Snacks,30.97,6,2025-04-24,185.82
Yogurt,Dairy,11.52,6,2025-01-07,69.12
Potato,Vegetables,44.42,20,2025-05-06,888.4
Mango,Fruits,18.33,8,2025-05-07,146.64
Cookies,Snacks,12.77,6,2024-09-07,76.62
Granola Bar,Snacks,49.64,5,2024-08-17,248.2
Chips,Snacks,14.29,20,2025-03-12,285.8
Apple,Fruits,22.2,18,2024-12-18,399.6
Coffee,Beverages,12.22,17,2024-11-30,207.74
Banana,Fruits,8.43,8,2024-12-09,67.44
Tea,Beverages,44.86,8,2025-01-06,358.88
Water,Beverages,12.13,19,2025-03-05,230.47
Cookies,Snacks,16.3,9,2025-05-14,146.7
Chips,Snacks,9.58,4,2025-04-16,38.32
Apple,Fruits,28.07,7,2024-12-31,196.49
Grapes,Fruits,1.09,15,2025-03-16,16.35
Soda,Beverages,20.76,19,2024-12-27,394.44
Cookies,Snacks,25.1,20,2025-05-25,502.0
Cream,Dairy,28.78,1,2024-10-18,28.78
Popcorn,Snacks,26.06,20,2025-04-30,521.2
Apple,Fruits,9.43,2,2024-11-14,18.86
Coffee,Beverages,25.26,19,2024-07-09,479.94
Juice,Beverages,39.23,2,2025-04-18,78.46
Popcorn,Snacks,48.85,16,2024-06-28,781.6
Grapes,Fruits,1.69,10,2025-03-18,16.9
Coffee,Beverages,38.25,7,2025-01-03,267.75
Carrot,Vegetables,7.21,2,2024-11-20,14.42
Onion,Vegetables,18.43,19,2024-12-16,350.17
Chips,Snacks,36.01,17,2025-04-10,612.17
Butter,Dairy,47.9,1,2024-12-12,47.9
Carrot,Vegetables,24.17,15,2025-04-27,362.55
Mango,Fruits,42.53,7,2024-09-09,297.71
Cheese,Dairy,6.01,19,2025-02-19,114.19
Orange,Fruits,49.89,14,2025-01-10,698.46
Milk,Dairy,6.82,4,2024-07-01,27.28
Chips,Snacks,10.69,6,2025-06-19,64.14
Butter,Dairy,7.83,19,2025-02-25,148.77
Water,Beverages,39.03,15,2024-12-23,585.45
Chips,Snacks,12.93,11,2024-10-28,142.23
Granola Bar,Snacks,3.38,3,2024-10-01,10.14
Orange,Fruits,6.94,6,2025-01-04,41.64
Juice,Beverages,12.86,2,2024-12-05,25.72
Butter,Dairy,42.28,2,2025-01-31,84.56
Mango,Fruits,11.23,14,2024-10-17,157.22
Grapes,Fruits,9.77,16,2024-08-23,156.32
Milk,Dairy,43.98,20,2024-10-15,879.6
Onion,Vegetables,4.93,8,2024-11-01,39.44
Tea,Beverages,7.93,12,2024-08-09,95.16
Banana,Fruits,25.05,3,2024-07-05,75.15
Granola Bar,Snacks,23.65,3,2024-10-07,70.95
Mango,Fruits,48.8,5,2024-08-25,244.0
Orange,Fruits,35.47,2,2024-07-30,70.94
Onion,Vegetables,10.57,20,2025-02-20,211.4
Juice,Beverages,20.52,11,2024-10-25,225.72
Nuts,Snacks,3.95,13,2024-09-15,51.35
Orange,Fruits,40.57,6,2025-03-22,243.42
Water,Beverages,48.87,4,2025-05-30,195.48
