username,date,post,location,hashtags,sentiment,engagement
johnsonjoshua,2023-12-15,Exploring the beauty of Santorini! 🧳,Santorini,"#travelgram, #travel2025, #wanderlust",Positive,8985
jillrhodes,2025-05-17,Backpacking through Santorini has been a dream come true!,Santorini,"#wanderlust, #naturelovers",Positive,9913
garzaanthony,2023-09-05,Backpacking through Bali has been a dream come true!,Bali,#naturelovers,Positive,4607
jesseguzman,2024-09-02,Can't get enough of Bali 😍 #wanderlust,Bali,"#vacationvibes, #travelgram, #travel2025",Positive,5564
jennifermiles,2024-05-15,Exploring the beauty of Santorini! 🧳,Santorini,"#wanderlust, #travelgram",Neutral,761
shaneramirez,2025-04-30,Backpacking through Rome has been a dream come true!,Rome,#vacationvibes,Positive,5975
blakeerik,2024-05-18,Can't get enough of Cape Town 😍 #wanderlust,Cape Town,"#wanderlust, #naturelovers, #travelgram",Positive,1357
joshua35,2023-09-12,Exploring the beauty of Paris! 🧳,Paris,"#travelgram, #vacationvibes",Neutral,6115
jamesmichael,2024-03-18,Can't get enough of Manali 😍 #wanderlust,Manali,"#travelgram, #wanderlust, #naturelovers",Neutral,4060
lindsay78,2023-09-29,Tokyo is calling... and I must go ✈️,Tokyo,"#travelgram, #travel2025",Neutral,966
smiller,2025-03-30,Exploring the beauty of Paris! 🧳,Paris,"#vacationvibes, #travelgram",Positive,9342
barbara10,2024-11-19,Can't get enough of Manali 😍 #wanderlust,Manali,"#vacationvibes, #naturelovers, #travelgram",Positive,4090
kendragalloway,2025-04-19,Backpacking through Amsterdam has been a dream come true!,Amsterdam,"#naturelovers, #vacationvibes",Negative,3643
michellejames,2024-06-11,Backpacking through Tokyo has been a dream come true!,Tokyo,"#wanderlust, #naturelovers",Negative,2671
francisco53,2024-11-26,Backpacking through Dharamshala has been a dream come true!,Dharamshala,#vacationvibes,Positive,8719
jacqueline19,2024-10-30,Backpacking through New York has been a dream come true!,New York,#wanderlust,Neutral,4421
amandasanchez,2024-06-18,Exploring the beauty of Manali! 🧳,Manali,"#vacationvibes, #travel2025",Positive,4365
onelson,2024-12-10,Can't get enough of Amsterdam 😍 #wanderlust,Amsterdam,"#wanderlust, #travelgram, #vacationvibes",Positive,6176
gabriellecameron,2025-02-16,Backpacking through Tokyo has been a dream come true!,Tokyo,"#wanderlust, #travelgram, #travel2025",Positive,5088
perezantonio,2024-02-25,Exploring the beauty of Paris! 🧳,Paris,#naturelovers,Negative,8012
nadams,2025-06-03,Backpacking through Santorini has been a dream come true!,Santorini,#travel2025,Neutral,2755
jason76,2025-05-12,Backpacking through New York has been a dream come true!,New York,"#vacationvibes, #travel2025, #travelgram",Neutral,5157
ithomas,2024-01-02,Sunsets in Dharamshala hit different 🌅,Dharamshala,"#naturelovers, #vacationvibes",Positive,5589
julie69,2024-04-30,Backpacking through Bali has been a dream come true!,Bali,"#travel2025, #naturelovers, #wanderlust",Positive,3800
jeffrey28,2024-07-12,Exploring the beauty of Santorini! 🧳,Santorini,"#wanderlust, #travel2025",Positive,8884
camposmichelle,2023-10-21,Backpacking through Tokyo has been a dream come true!,Tokyo,"#vacationvibes, #travel2025, #naturelovers",Neutral,1638
laurahenderson,2023-08-13,Sunsets in Dharamshala hit different 🌅,Dharamshala,"#vacationvibes, #naturelovers",Negative,1662
djames,2024-08-08,Bali is calling... and I must go ✈️,Bali,"#travelgram, #wanderlust, #vacationvibes",Positive,2346
tasha01,2024-12-05,Can't get enough of Dharamshala 😍 #wanderlust,Dharamshala,"#vacationvibes, #travel2025",Negative,9066
kayla51,2024-02-07,Exploring the beauty of Santorini! 🧳,Santorini,"#naturelovers, #wanderlust, #vacationvibes",Negative,2774
amoore,2025-01-05,Dharamshala is calling... and I must go ✈️,Dharamshala,"#travel2025, #vacationvibes",Negative,85
teresa28,2025-06-02,Sunsets in Dharamshala hit different 🌅,Dharamshala,"#travelgram, #vacationvibes",Neutral,9155
harrellkenneth,2024-11-02,Can't get enough of Rome 😍 #wanderlust,Rome,#travelgram,Positive,8933
ericfarmer,2024-08-16,Sunsets in Bali hit different 🌅,Bali,#wanderlust,Positive,8751
georgetracy,2023-09-19,Exploring the beauty of Tokyo! 🧳,Tokyo,"#wanderlust, #travel2025, #naturelovers",Positive,3903
natasha43,2023-08-08,Exploring the beauty of Dharamshala! 🧳,Dharamshala,"#travel2025, #wanderlust, #travelgram",Positive,9310
nataliearroyo,2023-08-30,Sunsets in Amsterdam hit different 🌅,Amsterdam,"#travel2025, #travelgram",Positive,4965
wcabrera,2024-08-11,Sunsets in Rome hit different 🌅,Rome,#wanderlust,Positive,1688
davidalvarez,2024-08-25,Backpacking through Santorini has been a dream come true!,Santorini,#naturelovers,Positive,1177
josephbrennan,2024-05-18,Sunsets in Paris hit different 🌅,Paris,"#travel2025, #vacationvibes",Neutral,8716
sarahcampos,2024-12-11,Backpacking through Bali has been a dream come true!,Bali,"#wanderlust, #travel2025",Positive,9114
jenniferross,2024-11-27,Sunsets in Tokyo hit different 🌅,Tokyo,"#naturelovers, #travel2025",Neutral,4375
samuel87,2023-09-26,Amsterdam is calling... and I must go ✈️,Amsterdam,"#wanderlust, #naturelovers",Neutral,772
jeffreymorgan,2024-09-23,Sunsets in Bali hit different 🌅,Bali,#travelgram,Positive,7057
briannasmith,2024-12-25,Exploring the beauty of Amsterdam! 🧳,Amsterdam,#wanderlust,Negative,2492
@nomadic_joe,2025-04-22,Exploring the beauty of Amsterdam! 🧳,Amsterdam,"#naturelovers, #travel2025",Positive,703
chad34,2024-11-25,Can't get enough of Manali 😍 #wanderlust,Manali,"#travel2025, #wanderlust, #naturelovers",Neutral,6708
ilewis,2025-01-06,Can't get enough of Cape Town 😍 #wanderlust,Cape Town,#travel2025,Negative,6805
esanchez,2025-03-13,Can't get enough of Bali 😍 #wanderlust,Bali,"#travelgram, #vacationvibes, #naturelovers",Negative,4421
glee,2024-11-17,Exploring the beauty of Tokyo! 🧳,Tokyo,"#wanderlust, #vacationvibes",Positive,7591
agomez,2024-06-21,Sunsets in Manali hit different 🌅,Manali,#travel2025,Positive,5428
nuneztracey,2023-09-09,Exploring the beauty of New York! 🧳,New York,"#travelgram, #vacationvibes",Neutral,5475
powellmatthew,2025-04-24,Exploring the beauty of Bali! 🧳,Bali,"#travel2025, #travelgram",Positive,5713
wrightjames,2024-06-07,Manali is calling... and I must go ✈️,Manali,"#naturelovers, #wanderlust, #travel2025",Negative,777
robertramirez,2024-01-05,Exploring the beauty of Dharamshala! 🧳,Dharamshala,"#naturelovers, #travel2025, #vacationvibes",Positive,5459
ramosmichelle,2024-08-25,Sunsets in Cape Town hit different 🌅,Cape Town,"#wanderlust, #travelgram, #vacationvibes",Positive,6642
williamsyvette,2025-04-04,Backpacking through New York has been a dream come true!,New York,#travel2025,Positive,2901
novaksara,2025-04-14,Backpacking through Cape Town has been a dream come true!,Cape Town,"#vacationvibes, #wanderlust",Positive,9552
gabrieltucker,2023-12-08,Sunsets in Cape Town hit different 🌅,Cape Town,"#vacationvibes, #naturelovers",Neutral,2830
